Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17007,,Morocco,2020-05-07,5548.0,183.0
17008,,Morocco,2020-05-08,5711.0,186.0
17009,,Morocco,2020-05-09,5910.0,186.0
17010,,Morocco,2020-05-10,6063.0,188.0
17011,,Morocco,2020-05-11,6281.0,188.0
17012,,Morocco,2020-05-12,6418.0,188.0
17013,,Morocco,2020-05-13,6512.0,188.0
17014,,Morocco,2020-05-14,6607.0,190.0
17015,,Morocco,2020-05-15,6652.0,190.0
17016,,Morocco,2020-05-16,6741.0,192.0
17017,,Morocco,2020-05-17,6870.0,192.0
17018,,Morocco,2020-05-18,6952.0,192.0
17019,,Morocco,2020-05-19,7023.0,193.0
17020,,Morocco,2020-05-20,7133.0,194.0
17021,,Morocco,2020-05-21,7211.0,196.0
17022,,Morocco,2020-05-22,7332.0,197.0
17023,,Morocco,2020-05-23,7406.0,198.0
17024,,Morocco,2020-05-24,7433.0,199.0
17025,,Morocco,2020-05-25,7532.0,200.0
17026,,Morocco,2020-05-26,7577.0,202.0
17027,,Morocco,2020-05-27,7601.0,202.0
17028,,Morocco,2020-05-28,7643.0,202.0
17029,,Morocco,2020-05-29,7714.0,202.0
17030,,Morocco,2020-05-30,7780.0,204.0
17031,,Morocco,2020-05-31,7783.0,204.0
